id,name
112011103,Bermudian Springs SD
112011603,Conewago Valley SD
112013054,Fairfield Area SD
112013753,Gettysburg Area SD
112015203,Littlestown Area SD
112018523,Upper Adams SD
102020003,Academy CS
103020603,Allegheny Valley SD
103020753,Avonworth SD
103021102,Baldwin-Whitehall SD
103021252,Bethel Park SD
103021453,Brentwood Borough SD
102023180,Career Connections CHS
103021603,Carlynton SD
103021752,Chartiers Valley SD
102020001,City CHS
103021903,Clairton City SD
103022103,Cornell SD
103022253,Deer Lakes SD
103022803,East Allegheny SD
103023153,Elizabeth Forward SD
199025446,Environmental Charter School at Frick Park
103023912,Fox Chapel Area SD
103024102,Gateway SD
103024603,Hampton Township SD
103024753,Highlands SD
103025002,Keystone Oaks SD
102023030,Manchester Academic CS
103026002,McKeesport Area SD
103026303,Montour SD
103026343,Moon Area SD
103026402,Mt Lebanon SD
103026852,North Allegheny SD
103026902,North Hills SD
103026873,Northgate SD
103020001,PA Learners Online Regional Cyber CS
103027352,Penn Hills SD
115220003,Pennsylvania Distance Learning CS
103021003,Pine-Richland SD
102027451,Pittsburgh SD
103027503,Plum Borough SD
160028259,Propel CS-Braddock Hills
103020005,Propel CS-East
103020002,Propel CS-Homestead
103020003,Propel CS-McKeesport
103020004,Propel CS-Montour
103027753,Quaker Valley SD
103028203,Riverview SD
103028302,Shaler Area SD
103028653,South Allegheny SD
103028703,South Fayette Township SD
103028753,South Park SD
103023410,Spectrum CS
103028833,Steel Valley SD
103028853,Sto-Rox SD
103029203,Upper Saint Clair SD
102023080,Urban Pathways 6-12 CS
103029403,West Allegheny SD
103029553,West Jefferson Hills SD
103029603,West Mifflin Area SD
103029803,Wilkinsburg Borough SD
103029902,Woodland Hills SD
128030603,Apollo-Ridge SD
128030852,Armstrong SD
128033053,Freeport Area SD
128034503,Leechburg Area SD
128034607,Lenape Tech
127040503,Aliquippa SD
127040703,Ambridge Area SD
127040001,Beaver Area Academic CS
127041203,Beaver Area SD
127041503,Big Beaver Falls Area SD
127041603,Blackhawk SD
127042003,Central Valley SD
127042853,Freedom Area SD
127044103,Hopewell Area SD
127040002,Lincoln Park Performing Arts CS
127045303,Midland Borough SD
127045653,New Brighton Area SD
127043430,Pennsylvania Cyber CS
127045853,Riverside Beaver County SD
127046903,Rochester Area SD
127047404,South Side Area SD
127049303,Western Beaver County SD
108051003,Bedford Area SD
108051503,Chestnut Ridge SD
108053003,Everett Area SD
108057079,HOPE for Hyndman CS
108056004,Northern Bedford County SD
108058003,Tussey Mountain SD
114060503,Antietam SD
114060753,Boyertown Area SD
114060853,Brandywine Heights Area SD
114061103,Conrad Weiser Area SD
114061503,Daniel Boone Area SD
114062003,Exeter Township SD
114062503,Fleetwood Area SD
114063003,Governor Mifflin SD
114063503,Hamburg Area SD
114060392,I-LEAD Charter School
114064003,Kutztown Area SD
114065503,Muhlenberg SD
114066503,Oley Valley SD
114067002,Reading SD
114067503,Schuylkill Valley SD
114068003,Tulpehocken Area SD
114068103,Twin Valley SD
114069103,Wilson  SD
114069353,Wyomissing Area SD
108070502,Altoona Area SD
108071003,Bellwood-Antis SD
108070001,Central PA Digital Learning Foundation CS
108071504,Claysburg-Kimmel SD
108073503,Hollidaysburg Area SD
108077503,Spring Cove SD
108078003,Tyrone Area SD
108079004,Williamsburg Community SD
117080503,Athens Area SD
117081003,Canton Area SD
117083004,Northeast Bradford SD
117086003,Sayre Area SD
117086503,Towanda Area SD
117086653,Troy Area SD
117089003,Wyalusing Area SD
122091002,Bensalem Township SD
122091303,Bristol Borough SD
122091352,Bristol Township SD
122091457,Bucks County Technical High School
122092002,Centennial SD
122090001,Center for Student Learning CS at Pennsbury
122092102,Central Bucks SD
122092353,Council Rock SD
122097203,Morrisville Borough SD
122097502,Neshaminy SD
122097604,New Hope-Solebury SD
122098003,Palisades SD
122098103,Pennridge SD
122098202,Pennsbury SD
122098403,Quakertown Community SD
122093140,School Lane CS
104101252,Butler Area SD
104103603,Karns City Area SD
104105003,Mars Area SD
104105353,Moniteau SD
104107903,Seneca Valley SD
104107503,Slippery Rock Area SD
104107803,South Butler County SD
199025446,Environmental Charter School at Frick Pa
103025206,Young Scholars of Western Pennsylvania C
103024162,Propel CS-Pitcairn
108070001,Central PA Digital Learning Foundation C
122090001,Center for Student Learning CS at Pennsb
103028192,Propel CS-Northside
102023217,Hill House Passport Academy Charter Scho